Topic,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20,Word 21,Word 22,Word 23,Word 24,Word 25,Word 26,Word 27,Word 28,Word 29,Word 30
Topic 1,қан,тіл,дүние,ана,өмір,көңіл,қыс,өл,апа,құдай,түн,жұрт,жүрек,жалғыз,тас,құлақ,күй,ту,әке,шын,қаш,ер,жар,көк,қу,шаш,таң,дала,кемпір,қызық
Topic 2,үй,қонақ,төр,киіз,кемпір,шай,қора,ірге,апа,шам,киім,тыс,әкел,ішке,жалғыз,ота,әже,кіргіз,шеше,пеш,ағаш,қараңғы,шығып,бай,бұрыш,сары,қымыз,әйел,көрпе,тамақ
Topic 3,қыз,сұлу,күлкі,ұл,күйеу,шаш,қызық,ғашық,өлең,көңіл,хат,шеше,жүрек,аға,үйлен,соғыс,кездес,кішкентай,келіншек,жібек,еркек,ерін,той,ота,кеуде,сөйт,құда,мұғалім,қарындас,ендеше
Topic 4,ел,жұрт,болыс,халық,көш,мал,ер,ұлық,ру,би,керей,ту,арала,заман,сайла,бай,той,қыр,ақын,шекара,ата,хабар,ағайын,тара,сый,азамат,түгел,ұлы,патша,жи
Topic 5,ауыл,мал,көш,бай,қон,жылқы,жалғыз,қыста,хабар,қонақ,бүкіл,түйе,аттан,болыс,жүріп,бел,сой,биыл,сай,мол,жұрт,қыр,салт,тау,ақсақал,қоныс,өріс,шаруа,кең,үр
Topic 6,хан,батыр,орда,жәнібек,сұлтан,қыпшақ,ру,әскер,керей,би,бұрындық,алтын,ту,тақ,ұрпақ,ұлы,темір,бүкіл,хандық,әмір,көш,мың,арғын,қан,жырау,түркістан,шыңғыс,биле,әке,кенет
Topic 7,жан,тірі,өл,жүрек,ая,қина,дүние,жар,кеуде,жұм,қуат,қи,өмір,дос,жарық,тас,аман,шам,ер,сөн,артық,жоғал,сезім,оқ,жалын,сау,ұшыр,жалғыз,тық,жарат
Topic 8,ой,бай,көңіл,кітап,ақыл,ар,аңғар,дұрыс,сұрақ,өмір,өлең,кездес,шын,күдік,жолдас,тын,пікір,сәт,хат,ұмыт,терең,тіл,заман,ұна,сондықтан,ақын,із,жоғары,мұндай,тым
Topic 9,қазақ,орыс,халық,газет,тіл,патша,комитет,ақмола,омбы,алашорда,үкімет,алаш,съез,өкімет,бастық,хал,ру,мал,бай,жалпы,жұрт,ұлық,қытай,сайла,совет,дала,партия,бөл,қыр,облыс
Topic 10,жас,жыла,келіншек,мырза,әйел,көңіл,жүрек,сұлу,жиырма,қонақ,әке,сүрт,күйеу,еркек,қарт,ту,үйлен,аға,жеті,бауыр,отыз,келін,офицер,қырық,сақал,өс,шеше,тый,шырақ,амандас
Topic 11,су,тас,өзен,жаға,құй,тау,мұз,теңіз,құдық,көл,шай,егін,суық,қайық,бұлақ,қаз,толқын,жу,тоқ,түйе,жағала,жаңбыр,хал,терең,ыстық,дала,киім,қайна,жар,мол
Topic 12,жау,генерал,командир,соғыс,дивизия,солдат,жолдас,оқ,полк,армия,жауынгер,кітап,әскер,қызыл,ұрыс,батыр,штаб,совет,хат,шабуыл,неміс,танк,панфилов,полковник,батальон,бастық,әскери,ерлік,отан,қызмет
Topic 13,жер,көк,аспан,тау,көш,туған,дала,тас,шөп,ағаш,жел,қыс,ана,вагон,теңіз,топырақ,шақырым,қозға,оқ,бұлт,жаяу,биік,қаз,аудар,төңірек,жар,жазда,қанат,көл,түн
